2026-09-24 14:41:09.281 [INFO] [QUEST] Quest UI: snapshot, ожидаемая цель и Runtime. | {"stage":"snapshot","questId":"tutorial_ruslan_shashlik","questName":"Спецмаринад для Руслана — учебный квест","graphNodes":21,"graphConnections":20,"runtimeState":{"QuestId":"tutorial_ruslan_shashlik","CurrentNodeId":null,"Status":0,"WaitingFor":null,"LastEvent":"","LastTransition":""},"currentNode":null,"target":null}
2026-09-24 14:41:09.374 [INFO] [QUEST] Journal: открытие окна. | {"entryCount":1,"detached":true}
2026-09-24 14:41:09.429 [INFO] [QUEST] Journal: native окно показано. | {"entryCount":1}
2026-09-24 14:41:09.467 [INFO] [QUEST] WEB: Дорожная геометрия получена. | {"segments":98341}
2026-09-24 14:41:09.467 [INFO] [QUEST] Quest UI: snapshot загружен. | {"graph":{"id":"tutorial_ruslan_shashlik","name":"Спецмаринад для Руслана — учебный квест","nodes":21,"connections":20},"runtime":{"status":"Stopped","rawStatus":"Stopped","currentNodeId":null,"waitingFor":null,"lastEvent":"","lastTransition":""}}
2026-09-24 14:41:09.468 [INFO] [QUEST] Quest UI: целевая точка вычислена. | {"stage":"snapshot","runtimeStatus":"Stopped","rawRuntimeStatus":"Stopped","currentNodeId":null,"targetKind":"none","targetPointId":null,"targetName":null,"targetCategory":null,"targetPosition":null,"radius":null,"found":false}
2026-09-24 14:41:09.468 [INFO] [QUEST] Quest UI: камера и ожидаемая цель обработаны. | {"currentNodeId":null,"targetPointId":null,"targetFound":false,"camera":{"cx":0,"cz":0,"mpp":50}}
2026-09-24 14:41:09.468 [INFO] [QUEST] WEB: Simulator получил snapshot. | {"points":5192,"selectedPointId":null,"player":{"x":158898,"y":89.5193,"z":-76926.55},"version":"1.0.40.180-LOCATION-SEARCH-TRACE-R28"}
2026-09-24 14:41:09.469 [INFO] [QUEST] Интерфейс Scene: состояние обновлено. | {"kind":null,"active":false,"requestId":null,"changed":false}
2026-09-24 14:41:09.528 [INFO] [QUEST] Quest UI: карта перерисована. | {"runtimeStatus":"Stopped","rawRuntimeStatus":"Stopped","currentNodeId":null,"targetPointId":null,"targetHighlighted":false,"targetRendered":false,"targetVisible":false,"targetScreen":null,"playerScreen":{"x":445,"y":343},"targetRadiusPx":null,"measurementRingsRendered":[500,1000,1500,2000]}
2026-09-24 14:41:09.544 [INFO] [QUEST] Quest UI: Simulator event получен. | {"event":{"EventType":"ChannelChanged","Payload":{"channel":"environment","description":"Изменено окружение"},"Source":"Кампания","Timestamp":"2026-09-24T09:41:09.134765+00:00"},"runtime":{"status":"Stopped","currentNodeId":null,"waitingFor":null}}
2026-09-24 14:41:09.683 [INFO] [QUEST] Quest UI: snapshot загружен. | {"graph":{"id":"tutorial_ruslan_shashlik","name":"Спецмаринад для Руслана — учебный квест","nodes":21,"connections":20},"runtime":{"status":"Stopped","rawStatus":"Stopped","currentNodeId":null,"waitingFor":null,"lastEvent":"","lastTransition":""}}
2026-09-24 14:41:09.684 [INFO] [QUEST] Quest UI: камера и ожидаемая цель обработаны. | {"currentNodeId":null,"targetPointId":null,"targetFound":false,"camera":{"cx":158898,"cz":-76926.55,"mpp":110.81336633663365}}
